Word or phrase,Replacement
(a) large number of,"many, most (or say how many)"
(an) absence of,"no, none"
(have) regard to,take into account
(it is) compulsory,(you) must
(it is) mandatory,(you) must
(it is) obligatory,(you) must
(please find) enclosed,I enclose
(the) tenant,you
12 midnight,midnight
12 noon,noon
A man/woman by the name of,Named
A number of,"Several, many"
A percentage of,Some
A sufficient number of,Enough
ABM missile,ABM
Absence of,No
absolutely certain,certain
absolutely essential,essential
abundance,"enough, plenty, a lot (or say how many)"
accede to,"allow, agree to"
Accede to,Grant/allow
accelerate,speed up
accentuate,stress
accommodation,"where you live, home"
accompanying,with
accomplish,"do, finish"
according to our records,our records show
accordingly,"in line with this, so"
Accordingly,So
acknowledge,thank you for
Acquaint,Tell
acquaint yourself with,"find out about, read"
acquiesce,agree
acquire,"buy, get"
actual experience,experience
add an additional,add
add up,add
added bonus,bonus
additional,"extra, more"
adjacent,next to
Adjacent to,Near
adjustment,"change, alteration"
admissible,"allowed, acceptable"
advance forward,advance
advance planning,planning
advance reservations,reservations
advance warning,warning
advantageous,"useful, helpful"
advise,"tell, say (unless you are giving advice)"
affirmative yes,yes
affix,"add, write, fasten, stick on, fix to"
afford an opportunity,"let, allow"
afforded,given
aforesaid,"this, earlier in this document"
aggregate,total
Ahead of schedule,Early
aligned,"lined up, in line"
all meet together,all meet
all-time record,record
alleviate,"ease, reduce"
allocate,"divide, share, give"
along the lines of,"like, as in"
Along the lines of,Like
alternative,"(a) choice, (the) other"
alternative choice,choice
alternatively,"or, on the other hand"
ameliorate,"improve, help"
amendment,change
An adequate number of,Enough
anonymous stranger,stranger
anticipate,expect
any particular,any
apparent,"clear, plain, obvious, seeming"
applicant (the),you
application,use
appreciable,"large, great"
apprise,"inform, tell"
appropriate,"proper, right, suitable"
appropriate to,suitable for
approximately,"about, roughly"
armed gunman,gunman
Arrangements are in the hands of,Arranged by
artificial prosthesis,prosthesis
as a consequence of,because
As far as... is concerned,As for
as of the date of,from
as per,per
as regards,"about, on the subject of"
ascertain,find out
Ascertain,Learn
ask the question,ask
assemble,"build, gather, put together"
assemble together,assemble
assistance,help
assless chaps,chaps
at an early date,soon (or say when)
At an early date,Soon
at an early time,early
at its discretion,"can, may (or edit out)"
at the moment,now (or edit out)
at the present time,now (or edit out)
At the present time,When
At this point in time,Now
ATM machine,ATM
attach together,attach
attempt,try
attend,"come to, go to, be at"
Attired in,Wore
attributable to,"due to, because of"
authorise,"allow, let"
authority,"right, power, may (as in 'have the authority to')"
autobiography of my life,autobiography
awkward predicament,awkward
axiomatic,"obvious, goes without saying"
balsa wood,balsa
basic fundamentals,fundamentals
beat out,beat
belated,late
beneficial,"helpful, useful"
Best of health,Well/healthy
bestow,"give, award"
blend together,blend
both agree,agree
both of them,both
bouquet of flowers,bouquet
breach,break
brief in duration,brief
brief moment,moment
brief summary,summary
broke on down,broke down
burning embers,embers
by means of,by
By means of,With/by
cacophony of sound,cacophony
calculate,"work out, decide"
call your attention to the fact that,"remind you, notify you"
Called a halt,Stopped
cameo role,cameo
cancel out,cancel
capitol building,capitol
careful scrutiny,scrutiny
Carry out the work,Do the work
Caused injuries to,Injured
cease,"finish, stop, end"
circle around,circle
circulate around,circulate
circumvent,"get round, avoid, skirt, circle"
clarification,"explanation, help"
classify into groups,classify
clean up,clean
close proximity,proximity
closed fist,fist
CNN network,CNN
cold temperature,cold
colder temperature,colder
collaborate together,collaborate
collide into each other,collide
combine,mix
combine together,combine
combined,together
commence,"start, begin"
communicate,"talk, write, telephone (be specific)"
compete with each other,compete
competent,"able, can"
compile,"make, collect"
complete,"fill in, finish"
completely annihilate,annihilate
completely destroy,destroy
completely eliminate,eliminate
completely engulf,engulf
completely fill,fill
completely surround,surrounded
completion,end
comply with,"keep to, meet"
component,part
component parts,parts
comprises,"is made up of, includes"
conceal,hide
concerning,"about, on"
Concerning the matter of,About
conclusion,end
concur,agree
condition,rule
confer together,confer
confused state,confused
connect together,connect
consensus of opinion,consensus
consequently,so
considerable,"great, important"
constantly maintained,maintained
constitutes,"makes up, forms, is"
construe,interpret
consult,"talk to, meet, ask"
consumption,amount used
contemplate,think about
continue on,continue
Continue to remain,Stay
contrary to,"against, despite"
correct,put right
correspond,write
costs the sum of,costs
could possibly,could
counter,against
courteous,polite
crammed close together,crammed
crisis situation,crisis
crystal clear,clear
cumulative,"added up, added together"
curative process,curative
current incumbent,incumbent
current trend,trend
currently,now (or edit out)
Currently,Now
customary,"usual, normal"
Customary,Usual
deceptive lie,lie
deduct,"take off, take away"
deem to be,treat as
defer,"put off, delay"
deficiency,lack of
delete,cross out
demonstrate,"show, prove"
denote,show
depart from,depart
depict,show
depreciated in value,depreciated
descend down,descend
Described as,Called
designate,"point out, show, name"
desirable benefits,benefits
desire,"wish, want"
despatch or dispatch,"send, post"
despite the fact that,"though, although"
Despite the fact that,Although
despite… nonetheless,despite OR nonetheless
determine,"decide, work out, set, end"
detrimental,"harmful, damaging"
different kinds,kinds
difficult dilemma,dilemma
difficulties,problems
diminish,"lessen, reduce"
direct confrontation,confrontation
disappear from sight,disappear
disburse,"pay, pay out"
discharge,carry out
disclose,"tell, show"
disconnect,"cut off, unplug"
discontinue,"stop, end"
discrete,separate
discuss,talk about
disseminate,spread
documentation,"papers, documents"
domiciled in,living in
dominant,main
Draw the attention of,Show/remind/point out
drop down,drop
due to the fact that,"because, as"
Due to the fact that,Because
duration,"time, life"
during the course of,during
During the time that,During
during which time,while
dwelling,home
dwindle down,dwindle
each and every,each
each individual ____,each ___
earlier in time,earlier
economical,"cheap, good value"
economics field,economics
eligible,"allowed, qualified"
eliminate altogether,eliminate
elucidate,"explain, make clear"
emergency situation,emergency
emphasise,stress
empower,"allow, let"
empty hole,hole
empty out,empty
empty space,space
enable,allow
enclosed,"inside, with"
enclosed herein,enclosed
Enclosed herewith,Enclosed
encounter,meet
end product,product
end result,result
endeavour,try
enquire,ask
enquiry,question
ensure,make sure
enter in,enter
entirely eliminate,eliminate
entitlement,right
envisage,"expect, imagine"
equal to one another,equal
equally as,"equally OR as (one or the other, not both)"
equivalent,"equal, the same"
Equivalent,Equal
eradicate completely,eradicate
erroneous,wrong
erupt (or explode) violently,erupt or explode
escape from,escape
establish,"show, find out, set up"
estimate roughly,estimate
estimated at about,estimated at
evaluate,"test, check"
evince,"show, prove"
evolve over time,evolve
ex officio,because of his or her position
exact same,same
Exceeding the speed limit,Speeding
exceptionally,"only when, in this case"
excessive,"too many, too much"
exclude,leave out
excluding,"apart from, except"
exclusively,only
exempt from,free from
exit out of,exit
expedite,"hurry, speed up"
expeditiously,"as soon as possible, quickly"
expenditure,spending
expire,run out
exposed opening,opening
extant,"current, in force"
extradite back,extradite
extreme in degree,extreme
extremity,limit
fabricate,"make, make up"
face mask,mask
facilitate,"help, make possible"
Facilitate the effort,Ease/help
factor,reason
failure to,if you do not
